FECHA DE ULTIMA ACTUALIZACION DE INFORMACION,REGION,SERVICIO DE SALUD,COMUNA,COD. DEIS PUNTO (DONDE TRIBUTA RNI),NOMBRE DEL PUNTO ,DIRECCION DEL PUNTO,LATITUD,LONGITUD,HORARIO HÁBIL,EXTENSIÓN HORARIA,TIPO DE PUNTO ,CAMPAÑA ASOCIADA,OBSERVACIONES ,Fecha de actualización
2024-06-06 0:00:00,ARICA,S.S. ARICA,ARICA,,CECOSF DR RENE GARCIA,CAPITAN AVALOS 3473,,,LUNES A VIERNES 09:00 A 16:00,NO,INTRAMURO,COVID-19 E INFLUENZA,NO,
2024-06-06 0:00:00,ARICA,S.S. ARICA,ARICA,,CECOSF CERRO LA CRUZ,DARDANELOS 251,,,LUNES A VIERNES 09:00 A 16:00,NO,INTRAMURO,COVID-19 E INFLUENZA,NO,
2024-06-06 0:00:00,ARICA,S.S. ARICA,ARICA,,CECOSF MIGUEL MASSA,FRANCISCOURZUA 4241,,,LUNES A VIERNES 09:00 A 16:00,NO,INTRAMURO,COVID-19 E INFLUENZA,NO,
2024-06-06 0:00:00,ARICA,S.S. ARICA,ARICA,,JUMBO,DIEGO PORTALES 161,,,SABADO 10:30 A 13:30 HRS,NO,EXTRAMURO,COVID-19 E INFLUENZA,NO,
2024-06-06 0:00:00,ARICA,S.S. ARICA,ARICA,,HIPER LIDER,DIEGO PORTALES 2291,,,.30SABADO 10:30 A 13,NO,EXTRAMURO,COVID-19 E INFLUENZA,NO,
2024-06-06 0:00:00,ARICA,S.S. ARICA,ARICA,,ASOAGRO,PANAMERICANA NORTE 3501,,,SABADO Y DOMINGO 9:00-13:30,NO,EXTRAMURO,COVID-19 E INFLUENZA,NO,
2024-06-06 0:00:00,ARICA,S.S. ARICA,ARICA,,MALL PLAZA,DIEGO PORTALES 640,,,JUEVES Y VIERNES 16:30 A 19:30 Y SABADO 10:30 A 13:30,NO,EXTRAMURO,COVID-19 E INFLUENZA,NO,
2024-06-06 0:00:00,ARICA,S.S. ARICA,ARICA,,CENTRO MEDICO CHUNGARA,18 DE SEPTIEMBRE 1315,,,LUNES A VIERNES10:00 A 17:00,NO,INTRAMURO,COVID-19 E INFLUENZA,SI,
2024-06-06 0:00:00,ARICA,S.S. ARICA,ARICA,,21 DE MAYO,21 DE MAYO CON COLON,,,LUNES  A VIERNES 9:30 A 12:30,NO,EXTRAMURO,COVID-19 E INFLUENZA,NO,
2024-06-06 0:00:00,ARICA,S.S. ARICA,ARICA,,OPERATIVO SAG,MANUEL CASTILLO IBACETA 3155,,,MIERCOLES 14:00 A 16:30,NO,OPERATIVO,COVID-19 E INFLUENZA,NO,
2024-06-06 0:00:00,ARICA,S.S. ARICA,ARICA,,NIRSEVIMAB POLIPEDIATRIA HOSPITAL DR JUAN NOÉ CREVANI,ENTRADA GALLO 3ER PISO POLIPEDIATRIA (NIRSEVIMAB E INFLUENZA),,,LUNES A JUEVES DE 14:00 A 16:30 VIERNES DE 14:00 A 15:30,NO,INTRAMURO,SOLO INFLUENZA,SI,
2024-06-06 0:00:00,ARICA,S.S. ARICA,ARICA,,"DESFILE 7 JUNIO,",AVENIDA COMANDANTE SAN MARTIN,,,VIERNES 10:00  A 13:30,NO,EXTRAMURO,COVID-19 E INFLUENZA,NO,
2024-05-31 0:00:00,TARAPACA,S.S. TARAPACÁ,ALTO HOSPICIO,102705,CECOSF EL BORO,SALITRERA DOMEYKO 2270,,,LUNES A VIERNES DE 10:00 A 15:00 HORAS,SI,INTRAMURO,COVID-19 E INFLUENZA,NO,
2024-05-31 0:00:00,TARAPACA,S.S. TARAPACÁ,ALTO HOSPICIO,102905,CECOSF LA TORTUGA,SANTA ROSA #3355,,,LUNES A VIERNES DE 10:00 A 15:00 HORAS,SI,INTRAMURO,COVID-19 E INFLUENZA,NO,
2024-05-31 0:00:00,TARAPACA,S.S. TARAPACÁ,ALTO HOSPICIO,200557,CESFAM YANDRY AÑAZCO,LOS LAGOS 4320,-20277805.0,-70084017.0,"LUNES A VIERNES 08:30 A 19:00 HRS., SABADO 09:00 A 13:00",SI,INTRAMURO,COVID-19 E INFLUENZA,SI,
2024-05-31 0:00:00,TARAPACA,S.S. TARAPACÁ,ALTO HOSPICIO,102307,CESFAM HECTOR REYNO,AVENIDA MÁRTIR DETECTIVE JOSÉ CUBILLOS #3080,-20287114.0,-7010386.0,"LUNES A VIERNES 08:30 A 19:00 HRS., SABADO 09:00 A 13:00",SI,INTRAMURO,COVID-19 E INFLUENZA,SI,
2024-05-31 0:00:00,TARAPACA,S.S. TARAPACÁ,IQUIQUE,102302,CESFAM CIRUJANO GUZMAN,PEDRO PRADO 2736,-20287116.0,-70143668.0,"LUNES A VIERNES 08:30 A 19:00 HRS., SABADO 09:00 A 13:00",SI,INTRAMURO,COVID-19 E INFLUENZA,SI,
2024-05-31 0:00:00,TARAPACA,S.S. TARAPACÁ,IQUIQUE,102302,JUMBO,HÉROES DE LA CONCEPCIÓN 2855,,,MARTES -MIERCOLES- JUEVES-VIERNES-SABADO 9:00 A 14:00 HORAS.,SI,EXTRAMURO,COVID-19 E INFLUENZA,NO,
2024-05-31 0:00:00,TARAPACA,S.S. TARAPACÁ,IQUIQUE,102302-102300-102301,PLAZA PRAT,ANIBAL PINTO CON TOMPSON,,,LUNES A VIERNES DE 9:30 A 14:30 HORAS,NO,EXTRAMURO,COVID-19 E INFLUENZA,NO,
2024-05-31 0:00:00,TARAPACA,S.S. TARAPACÁ,IQUIQUE,102300,CESFAM CIRUJANO AGUIRRE,PASAJE 3 PINTADOS S/N,-20287116.0,-70143668.0,"LUNES A VIERNES 08:30 A 19:00 HRS., SABADO 09:00 A 13:00",SI,INTRAMURO,COVID-19 E INFLUENZA,SI,
2024-05-31 0:00:00,TARAPACA,S.S. TARAPACÁ,IQUIQUE,102300,TERMINAL AGROPECUARIO NORTE,AV. PROGRESO 2000 ( EN SECTOR PÉRGOLA Y/O RAMPLA CENTRAL),,,DE LUNES A MIÉRCOLES Y SABADO - DOMINGO DE 9:30 A 14:30 HORAS,SI,EXTRAMURO,COVID-19 E INFLUENZA,NO,
2024-05-31 0:00:00,TARAPACA,S.S. TARAPACÁ,IQUIQUE,102306,CESFAM SUR,AVENIDA PLAYA EL AGUILA SIN NUMERO,-20287116.0,-70143668.0,"LUNES A VIERNES 08:30 A 19:00 HRS., SABADO 09:00 A 13:00",SI,INTRAMURO,COVID-19 E INFLUENZA,SI,
2024-05-31 0:00:00,TARAPACA,S.S. TARAPACÁ,IQUIQUE,102301,CESFAM VIDELA,ARTURO FERNANDEZ 44,-20287116.0,-70143668.0,"LUNES A VIERNES 08:30 A 19:00 HRS., SABADO 09:00 A 13:00",SI,INTRAMURO,COVID-19 E INFLUENZA,SI,
2024-05-31 0:00:00,TARAPACA,S.S. TARAPACÁ,IQUIQUE,102701,CECOSF ESMERALDA,FERROCARRIL 1460,-20209238.0,-70140349.0,LUNES A VIERNES 8:30 A 15:00,NO,INTRAMURO,COVID-19 E INFLUENZA,NO,
2024-05-31 0:00:00,TARAPACA,S.S. TARAPACÁ,IQUIQUE,201100,VACUNATORIO NURSING CARE,"AV. FRANCISCO BILBAO 3717, OFICINA 11. EDIFICIO TERRANOVA",-202.632.736.300.978,-701.282.451.536.796,LUNES A JUEVES 10:00 A 13:30 HRS; VIERNES 9:00 A 12:30 HRS.,NO,INTRAMURO,COVID-19 E INFLUENZA,NO,
2024-05-31 0:00:00,TARAPACA,S.S. TARAPACÁ,CAMIÑA,102309,CONSULTORIO GRAL RURAL CAMIÑA,ARTURO PRAT S/N°,-19313005.0,-69427211.0,LUNES A VIERNES DESDE 9:00 A 12:30 - 14:00 A 16:30,NO,INTRAMURO,COVID-19 E INFLUENZA,SI,
2024-05-31 0:00:00,TARAPACA,S.S. TARAPACÁ,CAMIÑA,102408,POSTA MOQUELLA,CALLE CASERIO DE MOQUELLA S/N,-19350759.0,-69514402.0,LUNES A VIERNES DESDE 9:00 A 12:30 - 14:00 A 16:30,NO,INTRAMURO,COVID-19 E INFLUENZA,NO,
2024-05-31 0:00:00,TARAPACA,S.S. TARAPACÁ,PICA,102304,CESFAM JUAN MARQUES VISMARRA,JUAN MARQUES S/N,-20491946.0,-69330165.0,LUNES A VIERNRES DE 08:30 A 13:00 Y 14:00 A 16:00,NO,INTRAMURO,COVID-19 E INFLUENZA,SI,
2024-05-31 0:00:00,TARAPACA,S.S. TARAPACÁ,PICA,102416,POSTA RURAL MATILLA,MATILLA S/N,-20513556.0,-69360941.0,LUNES Y VIERNES DE 09:00 A 12:30,NO,INTRAMURO,COVID-19 E INFLUENZA,NO,
2024-05-31 0:00:00,TARAPACA,S.S. TARAPACÁ,POZO ALMONTE,102303,POSTA RURAL LA TIRANA,CIRCUNVALACION S/N,,,LUNES A VIERNES DE 10:00 A 15:00 HORAS,NO,RONDA RURAL,COVID-19 E INFLUENZA,NO,
2024-05-31 0:00:00,TARAPACA,S.S. TARAPACÁ,POZO ALMONTE,102303,POSTA RURAL LA HUAYCA,ARTURO PRAT S/N,,,LUNES A VIERNES 10:00 A 16:00,NO,RONDA RURAL,COVID-19 E INFLUENZA,NO,
2024-05-31 0:00:00,TARAPACA,S.S. TARAPACÁ,POZO ALMONTE,102303,POSTA RURAL MAMIÑA,S/D,,,MIERCOLES 10-08-2023 DE 09:00 A 15:00 HRS.,NO,RONDA RURAL,COVID-19 E INFLUENZA,NO,
2024-05-31 0:00:00,TARAPACA,S.S. TARAPACÁ,POZO ALMONTE,102303,ESTACION MEDICO RURAL HUATACONDO,S/D,,,TRASLADO DE VACUNAS CON RONDA MEDICA. UNA VEZ AL MES,NO,RONDA RURAL,COVID-19 E INFLUENZA,NO,
2024-05-31 0:00:00,TARAPACA,S.S. TARAPACÁ,POZO ALMONTE,102303,ESTACION MEDICO RURAL PARCA,S/D,,,TRASLADO DE VACUNAS CON RONDA MEDICA.,NO,RONDA RURAL,COVID-19 E INFLUENZA,NO,
2024-05-31 0:00:00,TARAPACA,S.S. TARAPACÁ,POZO ALMONTE,102303,ESTACION MEDICO RURAL COLONIA AGRICOLA PINTADO,S/D,,,TRASLADO DE VACUNAS CON RONDA MEDICA.,NO,RONDA RURAL,COVID-19 E INFLUENZA,NO,
31-05-2024,TARAPACA,S.S. TARAPACÁ,POZO ALMONTE,102303,ESTACION MEDICO RURAL VICTORIA,S/D,,,TRASLADO DE VACUNAS CON RONDA MEDICA.,NO,RONDA RURAL,COVID-19 E INFLUENZA,NO,
31-05-2024,TARAPACA,S.S. TARAPACÁ,POZO ALMONTE,102303,CESFAM POZO ALMONTE,ESTACION 748,,,LUNES A VIERNES 08:30 A 19:30 SABADO DE 08:30 A 12:30,SI,INTRAMURO,COVID-19 E INFLUENZA,SI,
31-05-2024,TARAPACA,S.S. TARAPACÁ,HUARA,102308,CESFAM DR.AMADOR NEGHME RODRIGUEZ,FRANCISCO SAAVEDRA S/N,-696675,-1959052,LUNES A VIERNES 09:00 - 16:30,NO,INTRAMURO,COVID-19 E INFLUENZA,SI,
31-05-2024,TARAPACA,S.S. TARAPACÁ,HUARA,102308,PSR SIBAYA,POBLADO DE SIBAYA,-696675,-1959052,TRASLADO DE VACUNAS CON RONDA MEDICA.,NO,RONDA RURAL,COVID-19 E INFLUENZA,NO,
31-05-2024,TARAPACA,S.S. TARAPACÁ,HUARA,102308,POBLADO DE SOGA,POBLADO DE SOGA,-696675,-1959052,TRASLADO DE VACUNAS CON RONDA MEDICA.,NO,RONDA RURAL,COVID-19 E INFLUENZA,NO,
2024-05-31 0:00:00,TARAPACA,S.S. TARAPACÁ,HUARA,102308,PSR TARAPACA,POBLADO DE TARAPACA,,,TRASLADO DE VACUNAS CON RONDA MEDICA.,NO,RONDA RURAL,COVID-19 E INFLUENZA,NO,
2024-05-31 0:00:00,TARAPACA,S.S. TARAPACÁ,HUARA,102308,POBLADO DE MOCHA /HUASQUIÑA,POBLADO DE MOCHA /HUASQUIÑA,,,TRASLADO DE VACUNAS CON RONDA MEDICA.,NO,RONDA RURAL,COVID-19 E INFLUENZA,NO,
2024-05-31 0:00:00,TARAPACA,S.S. TARAPACÁ,COLCHANE,102310,CGR COLCHANE,CALLE 3 PONIENTE 4208,,,LUNES A JUEVES DE 09:30 A 17:30 VIERNES DE 08:00 A 15:30,NO,INTRAMURO,COVID-19 E INFLUENZA,SI,
2024-05-31 0:00:00,TARAPACA,S.S. TARAPACÁ,IQUIQUE,102201,CLINICA TARAPACA,BARROS ARANA 1550,,,LUNES A VIERNES 10:00 A 17:00 HRS,NO,INTRAMURO,COVID-19 E INFLUENZA,SI,
2024-05-31 0:00:00,TARAPACA,S.S. TARAPACÁ,IQUIQUE,102100,HOSPITAL REGIONAL CAE,HEROES DE LA CONCEPCIÓN 502,,,LUNES A VIERNES 09:00 A 12:30 HRS,NO,INTRAMURO,COVID-19 E INFLUENZA,NO,
2024-05-31 0:00:00,TARAPACA,S.S. TARAPACÁ,ALTO HOSPICIO,102305- 200557- 102307,AGRO HOSPICIO,"AV. TENIENTE HERNÁN MERINO CORREA 703,",,,LUNES A VIERNES DE 9:00 A 15:30 HORAS Y SABADOS DE 9:00 A 12:30,SI,EXTRAMURO,COVID-19 E INFLUENZA,NO,
2024-05-31 0:00:00,TARAPACA,S.S. TARAPACÁ,ALTO HOSPICIO,102305- 200557- 102307,SODIMAC ALTO HOSPICIO,"AV. LOS AROMOS 2780, ALTO HOSPICIO, TARAPACÁ",,,LUNES A VIERNES 9:00 A 15:30 HORAS Y SABADO 9:00 A 12:30,SI,EXTRAMURO,COVID-19 E INFLUENZA,NO,
2024-05-31 0:00:00,TARAPACA,SS.TARAPACA,IQUIQUE,102306,LIDER SUR,"TERESA WILMS MONT 2263, IQUIQUE, TARAPACÁ",,,LUNES A VIERNES 10:00 A 15:00 HORAS,NO,EXTRAMURO,COVID-19 E INFLUENZA,NO,
2024-05-31 0:00:00,TARAPACA,SS.TARAPACA,IQUIQUE,102306,AGROSUR,"CARDENAL JOSÉ MARÍA CARO 2635, 1111931 IQUIQUE",,,JUEVES Y VIERNES 10:00 A 15:00 HORAS,NO,EXTRAMURO,COVID-19 E INFLUENZA,NO,
2024-05-31 0:00:00,TARAPACA,SS.TARAPACA,IQUIQUE,102306,UNIMARC BILBAO,"AV. FRANCISCO BILBAO 3545, 1111502 IQUIQUE",,,LUNES A MIÉRCOLES 10:00 A 15:00 HORAS,NO,EXTRAMURO,COVID-19 E INFLUENZA,NO,
2024-05-31 0:00:00,TARAPACA,SS.TARAPACA,IQUIQUE,102301- 102300,ZOFRI,SECTOR FRIGORIFICOS LA IDEAL,,,LUENES A VIERNES DE 9:30 A 14:30 HORAS - MIÉRCOLES A VIERNES DE 14:30 A 19:00 HORAS Y SÁBADO DE 12:00 A 19:00 HORAS,SI,EXTRAMURO,COVID-19 E INFLUENZA,NO,
2024-05-31 0:00:00,TARAPACA,S.S. TARAPACÁ,ALTO HOSPICIO,102305- 200557- 102307,PLACA BANCARIA ALTO HOSPICIO,"AV. TENIENTE HERNÁN MERINO CORREA 703,",,,LUNES A VIERNES DE 9:30 A 15:00 HORAS,SI,EXTRAMURO,COVID-19 E INFLUENZA,NO,
2024-05-31 0:00:00,TARAPACA,S.S. TARAPACÁ,IQUIQUE,102302,LIDER,HÉROES DE LA CONCEPCIÓN 2855,,,LUNES A VIERNES DE 8:30 HORAS A 14:00 HORAS,NO,EXTRAMURO,COVID-19 E INFLUENZA,NO,
2024-05-31 0:00:00,TARAPACA,S.S. TARAPACÁ,IQUIQUE,102300,OPERATIVO EN PLAZA ARICA,SAN MARTÍN 1089/PDTE. ERRAZURIZ,,,DOMINGO 15:30 A 19:00 HORAS,SI,EXTRAMURO,COVID-19 E INFLUENZA,NO,
2024-05-31 0:00:00,TARAPACA,S.S. TARAPACÁ,IQUIQUE,102301,BANCO ESTADO,SAN MARTIN #3101,,,LUNES A VIERNES 09:00 A 14:30 HRS.,NO,INTRAMURO,COVID-19 E INFLUENZA,NO,
2024-05-31 0:00:00,TARAPACA,S.S. TARAPACÁ,IQUIQUE,102301,CONADI,RAMIREZ #1067,,,LUNES 09:00 A 12:00,NO,INTRAMURO,COVID-19 E INFLUENZA,NO,
2024-05-31 0:00:00,TARAPACA,S.S. TARAPACÁ,IQUIQUE,102301,COSEMAR,"AV LAS CABRAS, COSTADO PUERTA 10",,,MARTES 09:30 A 12:00,NO,INTRAMURO,COVID-19 E INFLUENZA,NO,
2024-05-31 0:00:00,TARAPACA,S.S. TARAPACÁ,IQUIQUE,102301,GAVINA,ARTURO PRAT 1497,,,MARTES 15:00 A 16:30,NO,INTRAMURO,COVID-19 E INFLUENZA,NO,
2024-05-31 0:00:00,TARAPACA,S.S. TARAPACÁ,IQUIQUE,102302,ASOCIACIÓN DE BAILES RELIGIOSOS SUR DEL CARMEN,LUIS CRUZ MARTINEZ 1200,,,LUNES 18:00 A 20:00 HORAS,SI,EXTRAMURO,COVID-19 E INFLUENZA,NO,
2024-05-31 0:00:00,TARAPACA,SS.TARAPACA,IQUIQUE,102306,FERIA SALUD SECTOR 5,CHIPANA CON ALGARROBO,,,VIERNES 9:00 A 12:00 HORAS,NO,EXTRAMURO,COVID-19 E INFLUENZA,NO,
2024-05-31 0:00:00,TARAPACA,S.S. TARAPACÁ,ALTO HOSPICIO,200557,TERCERA COMISARÍA,AV. TENIENTE HERNÁN MERINO CORREA 3961,,,LUNES 09:30 A 12:30 Y 14:00 A 16:00 HRS,SI,EXTRAMURO,COVID-19 E INFLUENZA,NO,
2024-05-31 0:00:00,TARAPACA,S.S. TARAPACÁ,ALTO HOSPICIO,200557,TERMINAL DE BUSES,VÍA EXPRESÓ NORTE 27,,,LUNES 9:30 A 15:30 HRS,SI,EXTRAMURO,COVID-19 E INFLUENZA,NO,
2024-05-31 0:00:00,TARAPACA,S.S. TARAPACÁ,ALTO HOSPICIO,102307,TOMA LA PAMPA,COMITÉ DIOS ES NUESTRA ESPERANZA,,,JUEVES 16:00 A 18.30 HRS.,SI,EXTRAMURO,COVID-19 E INFLUENZA,NO,
2024-05-31 0:00:00,TARAPACA,S.S. TARAPACÁ,ALTO HOSPICIO,102307,TOMA PASO LA MULA,LOS RIELES S/N. IGLESIA CATÓLICA.,,,JUEVES 16:00 A 18.30 HRS.,SI,EXTRAMURO,COVID-19 E INFLUENZA,NO,
2024-05-31 0:00:00,TARAPACA,S.S. TARAPACÁ,ALTO HOSPICIO,102307,CLUB BRISAS DEL SUR DE LAS AMERICAS,LORETO PINEDA #4064,,,JUEVES 17:30 A 19:00 HRS,SI,EXTRAMURO,COVID-19 E INFLUENZA,NO,
2024-05-17 0:00:00,ANTOFAGASTA,S.S. ANTOFAGASTA,CALAMA,,CESFAM CENTRAL DE CALAMA,FELIX HOYOS 2334,-2245829,-6893013,"LUNES- MARTES Y JUEVES 09:00 A 16:00 HORAS, MIERCOLES Y VIERNES 09:00 A 13:00 HORAS",NO,INTRAMURO,COVID-19  E INFLUENZA,SI,
2024-05-17 0:00:00,ANTOFAGASTA,S.S. ANTOFAGASTA,CALAMA,,CESFAM ALEMANIA,COLONIA 2633,-224535,-6893997,LUNES A JUEVES 08:30 A 16:00 HORAS Y VIERNES 08:30 A 13:00 HORAS,NO,INTRAMURO,COVID-19  E INFLUENZA,SI,
2024-05-17 0:00:00,ANTOFAGASTA,S.S. ANTOFAGASTA,CALAMA,,CESFAM ENRIQUE MONTT,AVENIDA GRANADEROS 3698,-2244212,-6892727,"LUNES- MARTES Y JUEVES 08:30 A 15:45 HORAS, MIERCOLES Y VIERNES 08:30 A 12:45 HORAS",NO,INTRAMURO,COVID-19  E INFLUENZA,SI,
2024-05-17 0:00:00,ANTOFAGASTA,S.S. ANTOFAGASTA,ANTOFAGASTA,,CESFAM CENTRAL ORIENTE,AVENIDA ALBERTO HURTADO S/N,-2365034,-7038578,LUNES A VIERNES DE 08:30 A 19:30 HORAS,SI,INTRAMURO,COVID-19  E INFLUENZA,SI,
2024-05-17 0:00:00,ANTOFAGASTA,S.S. ANTOFAGASTA,ANTOFAGASTA,,CESFAM VALDIVIESO,CERRO PEDREGAL 8755,-2358683,-7037635,LUNES A VIERNES DE 08:30 A 19:30 HORAS,SI,INTRAMURO,COVID-19  E INFLUENZA,SI,
2024-05-17 0:00:00,ANTOFAGASTA,S.S. ANTOFAGASTA,ANTOFAGASTA,,CESFAM NORTE,PASAJE ZAMBRANO/HUAMACHUCO,-2359641,-7038052,LUNES A VIERNES DE 08:30 A 19:30 HORAS,SI,INTRAMURO,COVID-19  E INFLUENZA,SI,
2024-05-17 0:00:00,ANTOFAGASTA,S.S. ANTOFAGASTA,ANTOFAGASTA,,CESFAM JUAN PABLO II,HUAMACHUCO C/JULIO MONTT SALAMANCA,-235818137,-7038129,LUNES A VIERNES DE 08:30 A 19:30 HORAS,SI,INTRAMURO,COVID-19  E INFLUENZA,SI,
2024-05-17 0:00:00,ANTOFAGASTA,S.S. ANTOFAGASTA,ANTOFAGASTA,,CESFAM RENDIC,AVENIDA RENDIC 6071,-236155,-70383,LUNES A VIERNES DE 08:30 A 19:30 HORAS,SI,INTRAMURO,COVID-19  E INFLUENZA,SI,
2024-05-17 0:00:00,ANTOFAGASTA,S.S. ANTOFAGASTA,ANTOFAGASTA,,CESFAM CENTRO SUR,NIEBLA 850,-2366644,-7040356,LUNES A VIERNES DE 08:30 A 19:30 HORAS,SI,INTRAMURO,COVID-19  E INFLUENZA,SI,
2024-05-17 0:00:00,ANTOFAGASTA,S.S. ANTOFAGASTA,ANTOFAGASTA,,CESFAM CORVALLIS,SALVADOR ALLENDE 1370,-236286,-7038024,LUNES A VIERNES DE 08:30 A 19:30 HORAS,SI,INTRAMURO,COVID-19  E INFLUENZA,SI,
2024-05-17 0:00:00,ANTOFAGASTA,S.S. ANTOFAGASTA,ANTOFAGASTA,,CESFAM DRA. MARIA CRISTINA ROJAS,HILDA CRUZ 10130,-23569789,-7037702,LUNES A VIERNES DE 08:30 A 19:30 HORAS,SI,INTRAMURO,COVID-19  E INFLUENZA,SI,
2024-05-17 0:00:00,ANTOFAGASTA,S.S. ANTOFAGASTA,MEJILLONES,,PUNTO FIJO DE VACUNACIÓN EN ENTRADA DEL HOSPITAL,AVENIDA BERNARDO O´HIGGINS 451,-2310251,-7044623,LUNES A JUEVES DE 08:30 A 16:30 Y VIERNES DE 08:30 A 15:30 HORAS,NO,INTRAMURO,COVID-19  E INFLUENZA,NO,
2024-05-17 0:00:00,ANTOFAGASTA,S.S. ANTOFAGASTA,MEJILLONES,,VACUNATORIO HOSPITAL COMUNITARIO MEJILLONES,AVENIDA BERNARDO O´HIGGINS 451,-2310251,-7044623,LUNES A VIERNES DE 08:30 A 19:00 SABADOS DE 09:00 A 13:00,SI,INTRAMURO,COVID-19  E INFLUENZA,SI,
2024-05-17 0:00:00,ANTOFAGASTA,S.S. ANTOFAGASTA,TOCOPILLA,,VACUNATORIO HOSPITAL MARCOS MACUADA,SANTA ROSA S/N,-22088382,-7040111,LUNES A JUEVES 09:00 A 16:00 VIERNES 08:30 A 15:00 HORAS,NO,INTRAMURO,COVID-19  E INFLUENZA,SI,
2024-05-22 0:00:00,ANTOFAGASTA,S.S. ANTOFAGASTA,TOCOPILLA,,GENDARMERIA,,,,,,,,,
2024-05-17 0:00:00,ANTOFAGASTA,S.S. ANTOFAGASTA,TALTAL,,VACUNATORIO HOSPITAL 21 DE MAYO,O´HIGGINS 450,-25408169,-7048097,LUNES A JUEVES 08:30 A 16:30 VIERNES 08:30 A 15:30,NO,INTRAMURO,COVID-19  E INFLUENZA,SI,
2024-05-17 0:00:00,ANTOFAGASTA,S.S. ANTOFAGASTA,MARIA ELENA,,CESFAM GONZALO PINTO FLORES,DIEGO ALMAGRO S/N,-22341088,-6966415,"LUNES A JUEVES DE 08:00 A 13:00 Y DE 14:00 A 16:00, DÍA VIERNES DE 08:00 A 13:00 Y DE 14:00 A 15:00",NO,INTRAMURO,COVID-19  E INFLUENZA,SI,
